symbol,level_type,side,event_timestamp_ms,control_timestamp_ms,event_5m_bps,control_5m_bps,excess_5m_bps,event_15m_bps,control_15m_bps,excess_15m_bps,event_60m_bps,control_60m_bps,excess_60m_bps
BTCUSDT,session_vwap,short,1738908360000,1738824840000,3.3745203139956548,-2.369844190373005,5.74436450436866,7.829298655336325,22.11176510673929,-14.282466451402966,27.469418409654665,18.75533342080349,8.714084988851177
BTCUSDT,session_vwap,short,1738912740000,1738481520000,3.0069737075177905,6.768376141222943,-3.761402433705152,21.532815145262063,14.328902971567636,7.203912173694427,27.48497542931827,-12.774683265064368,40.25965869438264
BTCUSDT,session_vwap,long,1738918080000,1739176200000,-5.117059163295412,-3.655760485223869,-1.4612986780715431,-4.746406990500107,9.72821417636327,-14.474621166863377,10.491515668804574,-4.505699197473456,14.99721486627803
BTCUSDT,session_vwap,short,1738918140000,1738916940000,5.304613571776029,-0.8057260262916977,6.110339598067727,-5.119209602277852,-27.64260059437751,22.523390992099657,-14.502710503032645,-43.69514219514814,29.19243169211549
BTCUSDT,confirmed_1h_swing_high,short,1738929720000,1740314940000,8.15869166484351,-1.5985506474125444,9.757242312256054,16.327607254078558,-18.39900451042098,34.72661176449954,-6.205922105964046,-18.064667120112343,11.858745014148298
BTCUSDT,session_vwap,long,1738941360000,1738854180000,-69.7718445416129,5.540630609632835,-75.31247515124574,30.544902329594503,-17.940602804253913,48.48550513384842,-18.799211796988182,-34.25581766214103,15.456605865152845
BTCUSDT,session_vwap,short,1738941420000,1738683780000,13.890433971450733,-27.279340446169087,41.16977441761982,-46.64164823624084,-32.78572583252482,-13.855922403716022,-21.361262529200342,-25.147510507597115,3.786247978396773
BTCUSDT,session_vwap,long,1738943700000,1739199900000,-8.277319736673672,-2.9659977606200094,-5.311321976053662,-22.357926373596236,-14.121844009042928,-8.236082364553308,-43.025772702559586,-28.572102995041426,-14.45366970751816
BTCUSDT,session_vwap,short,1738943760000,1738854720000,21.718493654223625,34.45072503906354,-12.732231384839917,-0.9890581617177929,24.53758256267924,-25.526640724397033,29.845084941743096,40.173776365636236,-10.32869142389314
BTCUSDT,session_vwap,short,1738945800000,1738946400000,14.0978449563256,21.105706791616498,-7.007861835290898,13.741066522868772,38.187883572282644,-24.446817049413873,70.24457671297002,70.52891593878007,-0.2843392258100579
BTCUSDT,session_vwap,long,1738946280000,1738515000000,-22.647393819348327,-12.00035797678023,-10.647035842568098,-50.41462543246333,-23.74647108117078,-26.66815435129255,-75.83059952995241,-111.9999511849834,36.169351655030994
BTCUSDT,confirmed_1h_swing_low,long,1738948860000,1740503700000,-24.272492064763007,-29.24574770942545,4.973255644662444,2.3390229039566,3.8285758040856877,-1.4895529001290875,29.494258109126203,-15.988589701244615,45.48284781037082
BTCUSDT,session_vwap,long,1738953660000,1739903160000,-5.135389866774975,-17.860256252152375,12.7248663853774,-46.95213592480374,-34.76371306222581,-12.18842286257793,-131.86947550755224,-43.53437461462217,-88.33510089293006
BTCUSDT,session_vwap,short,1738953780000,1738951380000,15.218961275292875,-20.676300572108897,35.89526184740177,34.324265878925566,-27.11393902490311,61.43820490382868,117.8959480025621,9.389931246431837,108.50601675613025
BTCUSDT,previous_day_low,long,1738961940000,1738527180000,18.973686547594237,15.426653229784204,3.5470333178100333,25.242525715301056,-15.874097357740924,41.11662307304198,24.918635691635327,-80.85518775874267,105.773823450378
BTCUSDT,session_vwap,short,1738972980000,1739924280000,-8.512405273539692,19.9551140598353,-28.46751933337499,-11.024602927436344,20.446413358322644,-31.47101628575899,-38.40963355133287,65.30099399255862,-103.71062754389149
BTCUSDT,session_vwap,long,1738973040000,1738371060000,-0.5705654614940325,10.055201001415437,-10.62576646290947,10.166439132075489,9.429804632037353,0.7366345000381358,26.43274174339849,20.77488564529606,5.657856098102432
BTCUSDT,session_vwap,long,1738976100000,1738455120000,-1.232410958307284,14.472124781876872,-15.704535740184156,3.8007968210007625,22.363303932486644,-18.562507111485882,3.231195117581187,52.865937303341326,-49.63474218576014
BTCUSDT,session_vwap,short,1738976400000,1740533160000,-11.07235040415544,-17.651490689916116,6.579140285760676,-1.8125924422141004,-17.617501940190294,15.804909497976194,4.847390074036451,-60.71523659002098,65.56262666405743
BTCUSDT,session_vwap,short,1738979100000,1740186780000,-10.762701593480806,-1.350185027277906,-9.4125165662029,3.84308208968398,-8.578867942556911,12.421950032240892,-0.031076135493801615,1.827942806162941,-1.8590189416567426
BTCUSDT,session_vwap,long,1738979280000,1739065440000,1.7596886386228583,-5.897147539389858,7.656836178012716,-20.370983769459894,28.192503587431972,-48.56348735689187,-5.693110301424609,7.438682597933344,-13.131792899357952
BTCUSDT,session_vwap,long,1738981260000,1738376280000,11.475217982537256,1.5583514978678714,9.916866484669384,2.1334791555993604,-9.437766258963975,11.571245414563336,15.452188835691771,-36.46542505011175,51.91761388580352
BTCUSDT,session_vwap,short,1738981380000,1740536880000,-13.869022156254296,16.80530385745338,-30.674326013707677,0.859692934256362,23.851600049525914,-22.99190711526955,-3.0866083663649846,-31.60702828648887,28.520419920123885
BTCUSDT,confirmed_1h_swing_high,short,1738984020000,1739504040000,-4.081075998934036,-5.91932130634909,1.838245307415054,20.023101989705694,-43.836092751212696,63.85919474091839,25.02371156814509,-22.85975658343542,47.88346815158051
BTCUSDT,session_vwap,short,1738984980000,1739415660000,0.18638190273034816,-7.35698513417038,7.543367036900728,-7.6727216624439265,-6.505339714175662,-1.1673819482682646,5.053020474050651,-1.2723377358958565,6.325358209946508
BTCUSDT,session_vwap,long,1738985580000,1738984620000,5.414207584653052,-19.81687471974358,25.231082304396633,5.238219957619528,-23.412428631353066,28.650648588972594,-19.73131865458444,-24.62127865336172,4.889959998777279
BTCUSDT,session_vwap,short,1738986780000,1739936820000,-9.67079936301296,6.139946933315654,-15.810746296328615,6.595609415672721,8.061290871631543,-1.4656814559588227,24.02168578392483,40.525738177209504,-16.504052393284674
